#2020-02-22T00:00:00
"Rt","σs"
0.0011319311694700043,0.03579480650063263
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0019408303373894995,0.0613744441810387
0.0013526116114017037,0.042773334816199625
0.0011800454910499713,0.03731631494329751
0.005914708325079074,0.11069822106035754
0.017168450626782638,0.18670529413473738
0.015737860869873107,0.19820728663993106
0.029528191410820758,0.2970639406801064
0.08259029662351003,0.5126571517459784
0.09188752959328414,0.5521892497197296
0.16024535741949067,0.7947491667651861
0.25544303586414646,0.9525401251466271
0.3033525229726468,1.0526514541162184
0.4052323616487289,1.2649251419583647
0.6983359176226545,1.705341344722549
0.9492408248542625,2.0198314134096265
1.281243759654538,2.346427887170756
1.6389767395511998,2.531760060474584
2.0023729387738194,2.6892991577639425
2.274254513321476,2.5335258537628
2.609803717800719,2.5695738226823517
2.982422095877189,2.2099996851388126
3.0561260287059966,1.8153873478641724
3.1342766594385845,1.5500837899977864
3.2797535958382373,1.1128829704887615
3.2265463397052376,0.9055869465924009
3.1870182528172895,0.687341366483446
3.1440625466812246,0.4964781607747617
3.0858451118143413,0.37398211362460415
3.026804644846119,0.2764052723852981
2.952251060228126,0.2522682227304295
2.87538956175734,0.22965830419904162
2.794340375819126,0.20848360695545426
2.708030737416128,0.18882207735673548
2.6137459650899966,0.17128647707134823
2.508640163155073,0.15517199132395848
2.3906642411790187,0.13985219222300657
2.2591120663702027,0.12532483205068404
2.1154844439530303,0.11217278150871512
1.961908213649476,0.10075971880618789
1.799313537021798,0.09050879244418884
1.6276703675386552,0.08021066512236437
1.4481041538197539,0.06936739407237008
1.2641215605358016,0.058431601434559964
1.0823074442346898,0.04844505368251351
0.9112877739692022,0.04016188519773339
0.759180255438568,0.03347536600666446
0.6321415852514337,0.027840865851455027
0.5339218368958007,0.023107733543597835
0.465835479023136,0.019469046064739023
0.4267222605650231,0.01730125420735356
0.4131714495179307,0.016559405291415055
0.4213421187583663,0.01685413787883092
0.4494807390512941,0.01803397270665679
0.4975490622064549,0.020029769819014862
0.565298267742052,0.022840939386446487
0.652192587461973,0.026448571419275237
0.7578683190174843,0.03097046664472301
0.8830247169405415,0.036677497004575066
1.028907676519556,0.04374249078008539
1.1957557629061932,0.05209387285166783
1.3814354123364947,0.06153973908922181
1.5803885958828214,0.07191581105691548
1.7834240429973651,0.08299739235532078
1.9789126942230226,0.09421955787575585
2.154760260448346,0.10422838426680592
2.2997796831639903,0.11142422929023724
2.40545538410103,0.11496207339897008
2.4681655580279873,0.1148452229550236
2.490365481645697,0.11167915086081293
2.478748629811851,0.10625786364189092
2.4414744303362506,0.09940316432540604
2.3850934624713753,0.09212172116444008
2.3123819482536705,0.08538626428384771
2.222628494485776,0.07939875765229963
2.1143957672732627,0.07346013845572759
1.9888621723604958,0.06724247514356392
1.8504716792884683,0.06042659347800993
1.7062140952870422,0.0528836456139917
1.5653117138426547,0.04540155517785137
1.4375509993729219,0.03845959023679677
1.330954551334291,0.03268020147225261
1.2495958579991073,0.02876871030817185
1.1921172031699738,0.026798670031246287
1.152662012536201,0.02610390218256286
1.1222255144494209,0.025945395747501473
1.0907046952890904,0.02592581564992908
1.0506178792058982,0.025808388129639485
0.9996732328374158,0.02553841687517905
0.9400532447336779,0.02506307675722307
0.8755473942552601,0.024708942272298133
0.8102639409536416,0.02512988916919826
0.7485520572039412,0.027076560107394062
0.6946559389858519,0.03136604694844927
0.6532672668641059,0.038780510221742066
0.6287751962273804,0.050052206671318926
0.6236326769175425,0.06590208703863994
0.6387215820559208,0.08729766842563573
